[2026-05-23 14:15:43] Zarejestrowano alert: Protokół=TCP, Źródło=57.144.112.145, Cel=192.168.0.13, Port=49244
[2026-05-23 14:15:45] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:46] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:47] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:47] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:47] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:48] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:49] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:50] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:50] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:51] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=13.227.146.64, Port=443
[2026-05-23 14:15:52] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:53] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:53] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:15:55] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:56] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=50.1.2.3, Port=53
[2026-05-23 14:15:57] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:57] Zarejestrowano alert: Protokół=TCP, Źródło=128.116.21.3, Cel=192.168.0.13, Port=50742
[2026-05-23 14:15:58] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:58] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:59] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:16:00] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:16:02] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:16:03] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:16:04] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=192.168.0.255, Port=57621
[2026-05-23 14:16:04] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:16:05] Zarejestrowano alert: Protokół=TCP, Źródło=20.42.65.85, Cel=192.168.0.13, Port=56805
[2026-05-23 14:16:07] Zarejestrowano alert: Protokół=TCP, Źródło=128.116.21.3, Cel=192.168.0.13, Port=64065
[2026-05-23 14:16:07] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:16:08] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:16:09] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=17.12.34.56, Port=53
[2026-05-23 14:16:09] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
